
DECIMAL       HEXADECIMAL     DESCRIPTION
11690079      0xB2605F        mcrypt 2.2 encrypted data, algorithm: blowfish-448, mode: CBC, keymode: 8bit
11690247      0xB26107        mcrypt 2.2 encrypted data, algorithm: blowfish-448, mode: CBC, keymode: 8bit
11690423      0xB261B7        mcrypt 2.2 encrypted data, algorithm: blowfish-448, mode: CBC, keymode: 8bit
12283017      0xBB6C89        Executable script, shebang: "/bin/sh"
12283393      0xBB6E01        Executable script, shebang: "/bin/sh"
12283777      0xBB6F81        Executable script, shebang: "/bin/sh"
12306539      0xBBC86B        Copyright string: "Copyright (c]  @"
12310657      0xBBD881        Executable script, shebang: "/usr/bin/env python"
12362987      0xBCA4EB        Certificate in DER format (x509 v3), header length: 4, sequence length: 1284
12422665      0xBD8E09        Executable script, shebang: "/bin/bash -p"
13315792      0xCB2ED0        Copyright string: "Copyright (C) 2000 Arcom Control Systems Ltd"
13393876      0xCC5FD4        CRC32 polynomial table, big endian
13402217      0xCC8069        Executable script, shebang: "/bin/sh"
13527459      0xCE69A3        Unix path: /proc/fs/nfsd/threads
13979158      0xD54E16        xz compressed data
14092484      0xD708C4        Certificate in DER format (x509 v3), header length: 4, sequence length: 3626
14095662      0xD7152E        Certificate in DER format (x509 v3), header length: 4, sequence length: 3655
14508787      0xDD62F3        Unix path: /sysroot/usr/include/bits
14510330      0xDD68FA        Unix path: /sysroot/usr/include/bits
14816167      0xE213A7        CramFS filesystem, big endian size 1 CRC 0x475F7879, edition 1596116007, 158101351 blocks, 4477506 files
15344654      0xEA240E        SHA256 hash constants, little endian
15352123      0xEA413B        Unix path: /drivers/char/hw_random/rng-core.ko:
15357434      0xEA55FA        Unix path: /drivers/char/hw_random/rng-core.ko
16208484      0xF75264        mcrypt 2.5 encrypted data, algorithm: ")}", keysize: 11560 bytes, mode: "|",
16212209      0xF760F1        Unix path: /wiPgL/AlmXz7uxLaL2diMMxs0Dx6M/2OLuc5NF/1OVYm3z61PMO
16219951      0xF77F2F        Unix path: /D0UrSpUwjP4E/TelOL/bscVjby/rK25Xa71SJl
16229337      0xF7A3D9        Unix path: /Jkjd/14Et5cS54D40/mf0PmbR0/RAz15i
16240281      0xF7CE99        Unix path: /7EpFIKrIYwvF/k/Ji/1WcbvgAa3mkkp7M5+cTxq
16257391      0xF8116F        Unix path: /4gbIOZ/xWqndIlgVqIrTseYyCYIDbNc/CMf4uboAbbnW/FIyXaR/pDGUu7ZM
16261481      0xF82169        Unix path: /ZR6By6/qmW6/KUz/iDsaWVhFu9+lmqSbYf5VT7QqFiLpPKaVCjF62/IUg
16278005      0xF861F5        Unix path: /igPs6eD1sNuRMBhNZYW/lmci3Zt1/GiSw0r/wty2p5g0I6QNcZ4
16306533      0xF8D165        Unix path: /ThdDc7d8Lsrlh/eezJS/R27tQahsiFepdaVaH/w
16314473      0xF8F069        Unix path: /gBVsIdU6CeQNR1MM62X/JcumIS/LMmjv9GYERTtY/jKmIhYF5ntRQOXfjyG
16326042      0xF91D9A        Broadcom header, number of sections: 1230121828,
16342432      0xF95DA0        Unix path: /xhnaQr/2v/pDGj59/i5IjnOcVdo/Vi5QTcmn7
16352979      0xF986D3        Unix path: /WwYjnPbFfiTNKRCw51KBuav/0aQ/HKd/s7j2G4aSgWQgRecCocIdiP4b0j
16387497      0xFA0DA9        Unix path: /h0TD/7Gh0Xp/jKgGg0TpJRVcaUWi7rKibCyx/yP2FS1k2Kdzs9Z+z0Y
16397953      0xFA3681        Unix path: /ufLqGU5ywck9G/GwGHU5nOp/UKIXZ3/6m3xnOUHN
16406013      0xFA55FD        Unix path: /4NZzkQqL/7hzmAD/I0Dpe3/a6i6zDQGn1k19uwsu537jVJp45wnEFPzpALFp/kR
16437977      0xFAD2D9        Executable script, shebang: "/bin/sh"
16439193      0xFAD799        Executable script, shebang: "/bin/sh"
16439977      0xFADAA9        Executable script, shebang: "/bin/sh"
16440977      0xFADE91        Executable script, shebang: "/bin/sh"
16441536      0xFAE0C0        Executable script, shebang: "/bin/sh"
16442833      0xFAE5D1        Executable script, shebang: "/bin/sh"
16651268      0xFE1404        HTML document header
16884123      0x101A19B       HTML document header
17045494      0x10417F6       Base64 standard index table
17626931      0x10CF733       Certificate in DER format (x509 v3), header length: 4, sequence length: 8669
17715954      0x10E52F2       mcrypt 2.5 encrypted data, algorithm: "", keysize: 773 bytes, mode: "M",
17859618      0x1108422       mcrypt 2.5 encrypted data, algorithm: ")}", keysize: 10500 bytes, mode: "}",
17871768      0x110B398       Base64 standard index table
18145382      0x114E066       Base64 standard index table
18178481      0x11561B1       Executable script, shebang: "/bin/sh"
18192521      0x1159889       Executable script, shebang: "/bin/sh"
18295212      0x11729AC       Certificate in DER format (x509 v3), header length: 4, sequence length: 3626
18298390      0x1173616       Certificate in DER format (x509 v3), header length: 4, sequence length: 3655
18714779      0x11D909B       Unix path: /sysroot/usr/include/bits
18716322      0x11D96A2       Unix path: /sysroot/usr/include/bits
19169307      0x124801B       Certificate in DER format (x509 v3), header length: 4, sequence length: 3626
19172487      0x1248C87       Certificate in DER format (x509 v3), header length: 4, sequence length: 3655
19355465      0x1275749       Executable script, shebang: "/bin/sh"
19357009      0x1275D51       Unix path: /update.peiluyou.com/conf/miner/packages
19357977      0x1276119       Executable script, shebang: "/bin/sh"
19359281      0x1276631       Unix path: /update.peiluyou.com/conf/miner/packages
20607009      0x13A7021       Unix path: /home/alex/work/dcdn_lib_v2/zlog/src/conf.c
20613192      0x13A8848       Unix path: /home/alex/work/dcdn_lib_v2/fsH
20614985      0x13A8F49       Unix path: /home/alex/work/dcdn_lib_v2/fsH
21142601      0x1429C49       Copyright string: "Copyright (C) 2000,t"
21368191      0x1460D7F       Unix path: /sysroot/usr/include/bits
22034453      0x1503815       mcrypt 2.5 encrypted data, algorithm: ")~", keysize: 26892 bytes, mode: "-",
22169209      0x1524679       Executable script, shebang: "/bin/sh"
22171788      0x152508C       MySQL ISAM compressed data file Version 2
22786887      0x15BB347       mcrypt 2.5 encrypted data, algorithm: ")~", keysize: 24340 bytes, mode: ",",
22908145      0x15D8CF1       Executable script, shebang: "/bin/sh"
23355617      0x16460E1       Executable script, shebang: "/bin/sh"
23356337      0x16463B1       Executable script, shebang: "/bin/sh"
24282412      0x172852C       xz compressed data
24426360      0x174B778       Unix path: /samba/gitlab/hammer/Board/trunk/mining_amlogic/modules/factorL
24436369      0x174DE91       Executable script, shebang: "/bin/sh"
24586600      0x1772968       CRC32 polynomial table, little endian
24590744      0x1773998       CRC32 polynomial table, big endian
24603276      0x1776A8C       Base64 standard index table
26259772      0x190B13C       eCos RTOS string reference: "eCost(T"
26264087      0x190C217       Unix path: /home/jinxuhuan/miner/for_dcdn_deploy/data_pipe/src/meta'E
26347843      0x1920943       Unix path: /common/src/utility/vod_bitmap.c
26381122      0x1928B42       SHA256 hash constants, little endian
26438299      0x1936A9B       Unix path: /home/jinxuhuan/miner/libs/openssl101j/\
26465158      0x193D386       mcrypt 2.5 encrypted data, algorithm: ")}", keysize: 10500 bytes, mode: "}",
26475846      0x193FD46       Copyright string: "Copyright 1995-2013 Jean-loup Gailly and Mark Adler "
26481424      0x1941310       CRC32 polynomial table, big endian
26822379      0x19946EB       Certificate in DER format (x509 v3), header length: 4, sequence length: 1296
26930669      0x19AEDED       Unix path: /media/sda2/var/conf/teamcity/work/f8ad797f8388e51c/modules_debug//ifslinux
27850566      0x1A8F746       Unix path: /media/sda2/var/conf/teamcity/work/f8ad797f8388e51c/modules_debug//ifslinux/ufsdvfs.c
27852787      0x1A8FFF3       Unix path: /media/sda2/var/conf/teamcity/work/f8ad797f8388e51c/modules_debug//ifslinux/}
27853976      0x1A90498       Unix path: /work/f8ad797f8388e51c/modules_debug//ifslinux/ufsdvfs.c, 9604
27855210      0x1A9096A       Unix path: /media/sda2/var/conf/teamcity/work/f8ad797f8388e51c/modules_debug//ifslinux/}
27856603      0x1A90EDB       Unix path: /media/sda2/var/conf/teamcity/work/f8ad797f8388e51c/modules_debug//ifslinux/}
27857747      0x1A91353       Unix path: /teamcity/work/f8ad797f8388e51c/modules_debug//ifslinux/ufsdvfs.c, 934
