
DECIMAL       HEXADECIMAL     DESCRIPTION
15608682      0xEE2B6A        SHA256 hash constants, little endian
16067414      0xF52B56        Unix path: /vincent/samba/S805/develop/}
16143692      0xF6554C        Base64 standard index table
16821724      0x100ADDC       CRC32 polynomial table, big endian
16825895      0x100BE27       Copyright string: "Copyright 1995-2013 Jean-loup Gailly and Mark Adler "
17058720      0x1044BA0       mcrypt 2.5 encrypted data, algorithm: ""\ ,H", keysize: 2128 bytes, mode: "(",
17073989      0x1048745       Executable script, shebang: "/bin/sh"
17092477      0x104CF7D       Copyright string: "Copyright (c) 2002-S"
17104837      0x104FFC5       Executable script, shebang: "/bin/sh"
17130955      0x10565CB       Copyright string: "Copyright (C) 2005-S"
17358904      0x108E038       OpenSSH RSA1 private key, version "u"
17407863      0x1099F77       Base64 standard index table
17489510      0x10ADE66       Copyright string: "Copyright (C) 2005-S"
17789704      0x10F7308       Base64 standard index table
17804116      0x10FAB54       Copyright string: "Copyright (c) 2003 Li!L"
17868417      0x110A681       Copyright string: "Copyright (c)"
17896050      0x1111272       Copyright string: "Copyright (C) 2011-P"
18209812      0x115DC14       OpenSSH RSA1 private key, version "u"
18268924      0x116C2FC       Base64 standard index table
18538728      0x11AE0E8       Base64 standard index table
18746014      0x11E0A9E       Base64 standard index table
19202235      0x12500BB       Base64 standard index table
19380941      0x127BACD       Executable script, shebang: "/bin/sh"
19614416      0x12B4AD0       CRC32 polynomial table, big endian
19815732      0x12E5D34       Copyright string: "Copyright (C) 2000 Arcom Control Systems Ltd"
19842935      0x12EC777       Unix path: /proc/fs/nfsd/threads
19948493      0x13063CD       Executable script, shebang: "/usr/bin/env python"
20047543      0x131E6B7       Certificate in DER format (x509 v3), header length: 4, sequence length: 1284
20478101      0x1387895       Executable script, shebang: "/bin/bash -p"
20487399      0x1389CE7       Copyright string: "Copyright (c]  @"
20664251      0x13B4FBB       Base64 standard index table
20846564      0x13E17E4       OpenSSH RSA1 private key, version "1.1"
20902830      0x13EF3AE       Base64 standard index table
21165196      0x142F48C       Zip multi-volume archive data, at least PKZIP v2.50 to extract
21382528      0x1464580       xz compressed data
21404868      0x1469CC4       Executable script, shebang: "/bin/sh"
21405252      0x1469E44       Executable script, shebang: "/bin/sh"
21405645      0x1469FCD       Executable script, shebang: "/bin/sh"
21406052      0x146A164       Executable script, shebang: "/bin/sh"
21407117      0x146A58D       Executable script, shebang: "/bin/sh"
21408717      0x146ABCD       Executable script, shebang: "/bin/sh"
21409365      0x146AE55       Executable script, shebang: "/bin/sh"
21409989      0x146B0C5       Executable script, shebang: "/bin/sh"
21410389      0x146B255       Executable script, shebang: "/bin/sh"
21419748      0x146D6E4       Unix path: /luyou.xunlei.com/static/miner/packages
21430045      0x146FF1D       Executable script, shebang: "/bin/sh"
21516461      0x14850AD       Executable script, shebang: "/bin/sh"
21516540      0x14850FC       Unix path: /proc/sys/kernel/hotplug
21516917      0x1485275       Executable script, shebang: "/bin/sh"
21517397      0x1485455       Executable script, shebang: "/bin/sh"
21518429      0x148585D       Executable script, shebang: "/bin/sh"
21519053      0x1485ACD       Executable script, shebang: "/bin/sh"
21520133      0x1485F05       Executable script, shebang: "/bin/sh"
21520677      0x1486125       Executable script, shebang: "/bin/sh"
21521469      0x148643D       Executable script, shebang: "/bin/sh"
21522093      0x14866AD       Executable script, shebang: "/bin/sh"
21523013      0x1486A45       Executable script, shebang: "/bin/sh "
21523845      0x1486D85       Executable script, shebang: "/usr/bin/awk"
21592347      0x149791B       mcrypt 2.5 encrypted data, algorithm: "cpy*G", keysize: 24940 bytes, mode: "z",
21602453      0x149A095       Executable script, shebang: "/bin/bash"
21607197      0x149B31D       Executable script, shebang: "/bin/sh"
21945067      0x14EDAEB       mcrypt 2.2 encrypted data, algorithm: blowfish-448, mode: CBC, keymode: 8bit
21945087      0x14EDAFF       mcrypt 2.2 encrypted data, algorithm: blowfish-448, mode: CBC, keymode: 8bit
22091819      0x151182B       mcrypt 2.2 encrypted data, algorithm: blowfish-448, mode: CBC, keymode: 8bit
22246694      0x1537526       Unix path: /home/vincent/samba/S805/develop/buildroot/output/build/uboot-local/arch/arm/cpu/aml_meson/m8b/firmware/ddr.c
22247770      0x153795A       Unix path: /home/vincent/samba/S805/develop/buildroot/output/build/uboot-local/arch/arm/cpu/aml_meson/common/firmware/loaduboot.c
22248405      0x1537BD5       Unix path: /home/vincent/samba/S805/develop/buildroot/output/build/uboot-local/arch/arm/cpu/aml_meson/m8b/firmware/pll.c

